text,label,source
"Penelitian temukan hubungan antara yoga dan relaksasi",0,"Detik, 2024"
"Vaksin baru menyebabkan gangguan jantung pada remaja",1,"Kominfo, 2025"
"Pemerintah luncurkan kampanye antiobesitas nasional",0,"CNN Indonesia, 2024"
"Konsumsi air rebusan daun salam sembuhkan hipertensi",1,"Mafindo (turnbackhoax.id), 2024"
"Penelitian temukan manfaat kacang hijau untuk kesehatan mata",0,"Kompas, 2023"
"Obat herbal baru dari India sembuhkan semua penyakit kulit",1,"Kominfo, 2025"
"Program imunisasi nasional kurangi kasus polio",0,"Detik, 2024"
"Vaksin baru menyebabkan gangguan ginjal permanen",1,"Mafindo (turnbackhoax.id), 2023"
"Studi temukan hubungan antara olahraga dan tidur nyenyak",0,"CNN Indonesia, 2024"
"Tsunami besar akan melanda Jawa akibat konspirasi",1,"Kominfo, 2025"
"Pemerintah luncurkan inisiatif untuk kesehatan lansia",0,"Kompas, 2024"
